Color name,Hex,R,G,B
acid green,#8ffe09,143,254,9
adobe,#bd6c48,189,108,72
algae,#54ac68,84,172,104
algae green,#21c36f,33,195,111
aliceblue,#f0f8ff,240,248,255
almost black,#070d0d,7,13,13
amber,#feb308,254,179,8
amethyst,#9b5fc0,155,95,192
antiquewhite,#faebd7,250,235,215
apple,#6ecb3c,110,203,60
apple green,#76cd26,118,205,38
apricot,#ffb16d,255,177,109
aqua,#00ffff,0,255,255
aqua blue,#02d8e9,2,216,233
aqua green,#12e193,18,225,147
aqua marine,#2ee8bb,46,232,187
aquamarine,#7fffd4,127,255,212
army green,#4b5d16,75,93,22
asparagus,#77ab56,119,171,86
aubergine,#3d0734,61,7,52
auburn,#9a3001,154,48,1
avocado,#90b134,144,177,52
avocado green,#87a922,135,169,34
azul,#1d5dec,29,93,236
azure,#f0ffff,240,255,255
baby blue,#a2cffe,162,207,254
baby green,#8cff9e,140,255,158
baby pink,#ffb7ce,255,183,206
baby poo,#ab9004,171,144,4
baby poop,#937c00,147,124,0
baby poop green,#8f9805,143,152,5
baby puke green,#b6c406,182,196,6
baby purple,#ca9bf7,202,155,247
baby shit brown,#ad900d,173,144,13
baby shit green,#889717,136,151,23
banana,#ffff7e,255,255,126
banana yellow,#fafe4b,250,254,75
barbie pink,#fe46a5,254,70,165
barf green,#94ac02,148,172,2
barney,#ac1db8,172,29,184
barney purple,#a00498,160,4,152
battleship grey,#6b7c85,107,124,133
beige,#f5f5dc,245,245,220
berry,#990f4b,153,15,75
bile,#b5c306,181,195,6
bisque,#ffe4c4,255,228,196
black,#000000,0,0,0
blanchedalmond,#ffebcd,255,235,205
bland,#afa88b,175,168,139
blood,#770001,119,0,1
blood orange,#fe4b03,254,75,3
blood red,#980002,152,0,2
blue,#0000ff,0,0,255
blue blue,#2242c7,34,66,199
blue green,#137e6d,19,126,109
blue grey,#607c8e,96,124,142
blue purple,#5729ce,87,41,206
blue violet,#5d06e9,93,6,233
blue with a hint of purple,#533cc6,83,60,198
blue/green,#0f9b8e,15,155,142
blue/grey,#758da3,117,141,163
blue/purple,#5a06ef,90,6,239
blueberry,#464196,70,65,150
bluegreen,#017a79,1,122,121
bluegrey,#85a3b2,133,163,178
blueviolet,#8a2be2,138,43,226
bluey green,#2bb179,43,177,121
bluey grey,#89a0b0,137,160,176
bluey purple,#6241c7,98,65,199
bluish,#2976bb,41,118,187
bluish green,#10a674,16,166,116
bluish grey,#748b97,116,139,151
bluish purple,#703be7,112,59,231
blurple,#5539cc,85,57,204
blush,#f29e8e,242,158,142
blush pink,#fe828c,254,130,140
booger,#9bb53c,155,181,60
booger green,#96b403,150,180,3
bordeaux,#7b002c,123,0,44
boring green,#63b365,99,179,101
bottle green,#044a05,4,74,5
brick,#a03623,160,54,35
brick orange,#c14a09,193,74,9
brick red,#8f1402,143,20,2
bright aqua,#0bf9ea,11,249,234
bright blue,#0165fc,1,101,252
bright cyan,#41fdfe,65,253,254
bright green,#01ff07,1,255,7
bright lavender,#c760ff,199,96,255
bright light blue,#26f7fd,38,247,253
bright light green,#2dfe54,45,254,84
bright lilac,#c95efb,201,94,251
bright lime,#87fd05,135,253,5
bright lime green,#65fe08,101,254,8
bright magenta,#ff08e8,255,8,232
bright olive,#9cbb04,156,187,4
bright orange,#ff5b00,255,91,0
bright pink,#fe01b1,254,1,177
bright purple,#be03fd,190,3,253
bright red,#ff000d,255,0,13
bright sea green,#05ffa6,5,255,166
bright sky blue,#02ccfe,2,204,254
bright teal,#01f9c6,1,249,198
bright turquoise,#0ffef9,15,254,249
bright violet,#ad0afd,173,10,253
bright yellow,#fffd01,255,253,1
bright yellow green,#9dff00,157,255,0
british racing green,#05480d,5,72,13
bronze,#a87900,168,121,0
brown,#a52a2a,165,42,42
brown green,#706c11,112,108,17
brown grey,#8d8468,141,132,104
brown orange,#b96902,185,105,2
brown red,#922b05,146,43,5
brown yellow,#b29705,178,151,5
brownish,#9c6d57,156,109,87
brownish green,#6a6e09,106,110,9
brownish grey,#86775f,134,119,95
brownish orange,#cb7723,203,119,35
brownish pink,#c27e79,194,126,121
brownish purple,#76424e,118,66,78
brownish red,#9e3623,158,54,35
brownish yellow,#c9b003,201,176,3
browny green,#6f6c0a,111,108,10
browny orange,#ca6b02,202,107,2
bruise,#7e4071,126,64,113
bubble gum pink,#ff69af,255,105,175
bubblegum,#ff6cb5,255,108,181
bubblegum pink,#fe83cc,254,131,204
buff,#fef69e,254,246,158
burgundy,#610023,97,0,35
burlywood,#deb887,222,184,135
burnt orange,#c04e01,192,78,1
burnt red,#9f2305,159,35,5
burnt siena,#b75203,183,82,3
burnt sienna,#b04e0f,176,78,15
burnt umber,#a0450e,160,69,14
burnt yellow,#d5ab09,213,171,9
burple,#6832e3,104,50,227
butter,#ffff81,255,255,129
butter yellow,#fffd74,255,253,116
butterscotch,#fdb147,253,177,71
cadet blue,#4e7496,78,116,150
cadetblue,#5f9ea0,95,158,160
camel,#c69f59,198,159,89
camo,#7f8f4e,127,143,78
camo green,#526525,82,101,37
camouflage green,#4b6113,75,97,19
canary,#fdff63,253,255,99
canary yellow,#fffe40,255,254,64
candy pink,#ff63e9,255,99,233
caramel,#af6f09,175,111,9
carmine,#9d0216,157,2,22
carnation,#fd798f,253,121,143
carnation pink,#ff7fa7,255,127,167
carolina blue,#8ab8fe,138,184,254
celadon,#befdb7,190,253,183
celery,#c1fd95,193,253,149
cement,#a5a391,165,163,145
cerise,#de0c62,222,12,98
cerulean,#0485d1,4,133,209
cerulean blue,#056eee,5,110,238
charcoal,#343837,52,56,55
charcoal grey,#3c4142,60,65,66
chartreuse,#7fff00,127,255,0
cherry,#cf0234,207,2,52
cherry red,#f7022a,247,2,42
chestnut,#742802,116,40,2
chocolate,#d2691e,210,105,30
chocolate brown,#411900,65,25,0
cinnamon,#ac4f06,172,79,6
claret,#680018,104,0,24
clay,#b66a50,182,106,80
clay brown,#b2713d,178,113,61
clear blue,#247afd,36,122,253
cloudy blue,#acc2d9,172,194,217
cobalt,#1e488f,30,72,143
cobalt blue,#030aa7,3,10,167
cocoa,#875f42,135,95,66
coffee,#a6814c,166,129,76
cool blue,#4984b8,73,132,184
cool green,#33b864,51,184,100
cool grey,#95a3a6,149,163,166
copper,#b66325,182,99,37
coral,#ff7f50,255,127,80
coral pink,#ff6163,255,97,99
cornflower,#6a79f7,106,121,247
cornflower blue,#5170d7,81,112,215
cornflowerblue,#6495ed,100,149,237
cornsilk,#fff8dc,255,248,220
cranberry,#9e003a,158,0,58
cream,#ffffc2,255,255,194
creme,#ffffb6,255,255,182
crimson,#dc143c,220,20,60
custard,#fffd78,255,253,120
cyan,#00ffff,0,255,255
dandelion,#fedf08,254,223,8
dark,#1b2431,27,36,49
dark aqua,#05696b,5,105,107
dark aquamarine,#017371,1,115,113
dark beige,#ac9362,172,147,98
dark blue,#00035b,0,3,91
dark blue green,#005249,0,82,73
dark blue grey,#1f3b4d,31,59,77
dark brown,#341c02,52,28,2
dark coral,#cf524e,207,82,78
dark cream,#fff39a,255,243,154
dark cyan,#0a888a,10,136,138
dark forest green,#002d04,0,45,4
dark fuchsia,#9d0759,157,7,89
dark gold,#b59410,181,148,16
dark grass green,#388004,56,128,4
dark green,#033500,3,53,0
dark green blue,#1f6357,31,99,87
dark grey,#363737,54,55,55
dark grey blue,#29465b,41,70,91
dark hot pink,#d90166,217,1,102
dark indigo,#1f0954,31,9,84
dark khaki,#9b8f55,155,143,85
dark lavender,#856798,133,103,152
dark lilac,#9c6da5,156,109,165
dark lime,#84b701,132,183,1
dark lime green,#7ebd01,126,189,1
dark magenta,#960056,150,0,86
dark maroon,#3c0008,60,0,8
dark mauve,#874c62,135,76,98
dark mint,#48c072,72,192,114
dark mint green,#20c073,32,192,115
dark mustard,#a88905,168,137,5
dark navy,#000435,0,4,53
dark navy blue,#00022e,0,2,46
dark olive,#373e02,55,62,2
dark olive green,#3c4d03,60,77,3
dark orange,#c65102,198,81,2
dark pastel green,#56ae57,86,174,87
dark peach,#de7e5d,222,126,93
dark periwinkle,#665fd1,102,95,209
dark pink,#cb416b,203,65,107
dark plum,#3f012c,63,1,44
dark purple,#35063e,53,6,62
dark red,#840000,132,0,0
dark rose,#b5485d,181,72,93
